company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
Columbia Pictures Corporation,USA,Rob Reiner,Adventure,8000000,52287414,299174,Stand by Me,R,8/22/1986,89,8.1,Wil Wheaton,Stephen King,1986
Paramount Pictures,USA,John Hughes,Comedy,6000000,70136369,264740,Ferris Bueller's Day Off,PG-13,6/11/1986,103,7.8,Matthew Broderick,John Hughes,1986
Paramount Pictures,USA,Tony Scott,Action,15000000,179800601,236909,Top Gun,PG,5/16/1986,110,6.9,Tom Cruise,Jim Cash,1986
Twentieth Century Fox Film Corporation,USA,James Cameron,Action,18500000,85160248,540152,Aliens,R,7/18/1986,137,8.4,Sigourney Weaver,James Cameron,1986
Walt Disney Pictures,USA,Randal Kleiser,Adventure,9000000,18564613,36636,Flight of the Navigator,PG,8/1/1986,90,6.9,Joey Cramer,Mark H. Baker,1986
Hemdale,UK,Oliver Stone,Drama,6000000,138530565,317585,Platoon,R,2/6/1987,120,8.1,Charlie Sheen,Oliver Stone,1986
Henson Associates (HA),UK,Jim Henson,Adventure,25000000,12729917,102879,Labyrinth,PG,6/27/1986,101,7.4,David Bowie,Dennis Lee,1986
De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,6000000,8551228,146768,Blue Velvet,R,10/23/1986,120,7.8,Isabella Rossellini,David Lynch,1986
Paramount Pictures,USA,Howard Deutch,Comedy,9000000,40471663,60565,Pretty in Pink,PG-13,2/28/1986,96,6.8,Molly Ringwald,John Hughes,1986
SLM Production Group,USA,David Cronenberg,Drama,15000000,40456565,129698,The Fly,R,8/15/1986,96,7.5,Jeff Goldblum,George Langelaan,1986
Rimfire Films,Australia,Peter Faiman,Adventure,8800000,174635000,79465,Crocodile Dundee,PG-13,9/26/1986,97,6.5,Paul Hogan,Ken Shadie,1986
Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,16000000,5900000,104860,Highlander,R,3/7/1986,116,7.2,Christopher Lambert,Gregory Widen,1986
Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,6000000,8200000,12228,Lucas,PG-13,3/28/1986,100,6.8,Corey Haim,David Seltzer,1986
Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,25000000,11100000,101678,Big Trouble in Little China,PG-13,7/2/1986,99,7.3,Kurt Russell,Gary Goldman,1986
De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,15000000,8620929,54000,Manhunter,R,8/15/1986,120,7.2,William Petersen,Thomas Harris,1986
Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,17000000,6734844,31798,9 Weeks,R,2/21/1986,117,5.9,Mickey Rourke,Elizabeth McNeill,1986
De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,10000000,7433663,24881,Maximum Overdrive,R,7/25/1986,98,5.4,Emilio Estevez,Stephen King,1986
"Geffen Company, The",USA,Frank Oz,Comedy,25000000,38747385,53327,Little Shop of Horrors,PG-13,12/19/1986,94,6.9,Rick Moranis,Howard Ashman,1986
New Century Entertainment Corporation,USA,Mike Marvin,Action,2700000,3500000,11635,The Wraith,PG-13,11/21/1986,93,5.9,Charlie Sheen,Mike Marvin,1986
Universal Pictures,USA,Willard Huyck,Action,35000000,16295774,36020,Howard the Duck,PG,8/1/1986,110,4.6,Lea Thompson,Steve Gerber,1986
New Line Cinema,USA,Stephen Herek,Action,2000000,13167232,25517,Critters,PG-13,4/11/1986,82,6,Dee Wallace,Domonic Muir,1986
Orion Pictures,USA,Alan Metter,Comedy,11000000,91258000,23120,Back to School,PG-13,6/13/1986,96,6.6,Rodney Dangerfield,Rodney Dangerfield,1986
Cannon Films,USA,Tobe Hooper,Comedy,4700000,8025872,21253,The Texas Chainsaw Massacre 2,UNRATED,8/22/1986,89,5.6,Dennis Hopper,L.M. Kit Carson,1986
Jay Weston Productions,USA,Clint Eastwood,Action,15000000,42724017,32954,Heartbreak Ridge,R,12/5/1986,130,6.8,Clint Eastwood,James Carabatsos,1986
Paramount Pictures,USA,Leonard Nimoy,Adventure,25000000,109713132,66366,Star Trek IV: The Voyage Home,PG,11/26/1986,119,7.3,William Shatner,Gene Roddenberry,1986
TriStar Pictures,USA,John Badham,Comedy,0,40697761,47068,Short Circuit,PG,5/9/1986,98,6.6,Ally Sheedy,S.S. Wilson,1986
Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,0,7153487,86991,The Name of the Rose,R,9/24/1986,130,7.8,Sean Connery,Umberto Eco,1986
TriStar Pictures,USA,Sidney J. Furie,Action,0,24159872,11304,Iron Eagle,PG-13,1/17/1986,117,5.3,Louis Gossett Jr.,Kevin Alyn Elders,1986
Paramount Pictures,USA,Michael Ritchie,Action,25000000,79817937,42997,The Golden Child,PG-13,12/12/1986,94,5.9,Eddie Murphy,Dennis Feldman,1986
